age,workclass,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,target
38,private,13,never_married,tech_support,not_in_family,white,male,0,0,40,united_states,0
30,private,10,never_married,craft_repair,not_in_family,black,male,0,0,45,united_states,0
25,private,9,divorced,sales,unmarried,white,female,0,0,37,united_states,0
41,private,11,civ_spouse,tech_support,husband,white,male,0,0,40,united_states,1
32,private,9,civ_spouse,machine_op_inspct,husband,white,male,0,0,50,united_states,1
43,federal_gov,9,civ_spouse,craft_repair,husband,black,male,0,0,40,united_states,1
27,private,10,never_married,transport_moving,other_relative,white,male,0,0,40,united_states,0
48,private,9,civ_spouse,farming_fishing,husband,white,male,0,0,70,united_states,0
34,private,14,civ_spouse,exec_managerial,husband,white,male,0,0,50,france,0
47,private,2,civ_spouse,machine_op_inspct,husband,white,male,0,0,40,mexico,0
22,private,13,never_married,prof_specialty,not_in_family,white,male,0,0,50,united_states,0
49,private,9,civ_spouse,protective_serv,husband,white,male,0,0,40,united_states,1
42,private,12,divorced,adm_clerical,unmarried,white,female,0,0,40,united_states,0
36,private,11,divorced,tech_support,not_in_family,white,male,0,0,40,united_states,0
41,private,9,civ_spouse,machine_op_inspct,husband,white,male,0,0,40,united_states,0
31,private,10,never_married,other_service,not_in_family,white,male,0,0,40,united_states,0
75,private,14,never_married,protective_serv,not_in_family,white,male,0,0,16,united_states,0
62,private,4,divorced,tech_support,unmarried,white,female,0,0,38,columbia,0
32,private,9,divorced,sales,unmarried,black,female,0,0,30,united_states,0
51,self_emp_inc,13,divorced,farming_fishing,unmarried,white,male,0,0,50,united_states,0
49,state_gov,16,divorced,prof_specialty,unmarried,white,male,0,0,50,united_states,1
49,private,12,divorced,adm_clerical,not_in_family,white,female,4650,0,40,united_states,0
39,private,10,civ_spouse,sales,husband,white,male,0,0,40,united_states,1
42,federal_gov,10,never_married,adm_clerical,not_in_family,white,female,0,0,40,united_states,0
57,federal_gov,10,civ_spouse,adm_clerical,husband,white,male,0,0,40,united_states,1
31,private,13,never_married,tech_support,not_in_family,white,female,0,0,40,united_states,0
49,local_gov,10,civ_spouse,handlers_cleaners,husband,white,male,7298,0,40,united_states,1
26,private,13,never_married,craft_repair,own_child,white,male,0,0,40,mexico,0
32,private,13,never_married,other_service,not_in_family,asian_pac_islander,male,0,0,40,south,0
46,self_emp_not_inc,15,civ_spouse,prof_specialty,husband,white,male,15024,0,40,united_states,1
41,private,11,civ_spouse,transport_moving,husband,white,male,0,0,55,united_states,0
45,private,9,civ_spouse,transport_moving,husband,white,male,0,0,40,united_states,1
30,self_emp_inc,9,divorced,adm_clerical,unmarried,white,female,0,0,40,united_states,0
41,self_emp_not_inc,14,civ_spouse,exec_managerial,husband,white,male,7298,0,70,united_states,1
43,self_emp_not_inc,13,divorced,exec_managerial,not_in_family,white,male,0,0,60,united_states,0
36,private,13,never_married,prof_specialty,not_in_family,white,female,0,0,40,united_states,0
52,private,10,civ_spouse,tech_support,husband,black,male,0,0,40,united_states,1
47,private,11,civ_spouse,other_service,husband,white,male,0,0,40,united_states,0
47,self_emp_not_inc,11,civ_spouse,sales,husband,white,male,0,0,40,united_states,1
44,private,9,spouse_absent,other_service,not_in_family,black,female,0,0,40,jamaica,0
34,private,14,civ_spouse,prof_specialty,husband,white,male,0,0,43,united_states,1
24,private,9,never_married,craft_repair,own_child,white,male,0,0,50,united_states,0
43,private,12,divorced,exec_managerial,not_in_family,black,male,0,0,40,united_states,0
38,private,10,never_married,adm_clerical,unmarried,black,female,0,0,40,united_states,0
38,private,10,divorced,prof_specialty,own_child,white,female,0,0,40,united_states,0
38,private,10,civ_spouse,craft_repair,husband,white,male,0,0,40,united_states,0
49,private,9,divorced,transport_moving,not_in_family,white,male,0,0,40,united_states,0
59,private,9,spouse_absent,priv_house_serv,not_in_family,white,female,0,0,36,poland,0
29,private,9,separated,protective_serv,not_in_family,white,male,0,0,55,united_states,0
23,private,13,never_married,sales,not_in_family,white,female,0,0,40,united_states,0
29,private,9,divorced,craft_repair,own_child,white,male,0,0,40,portugal,0
45,private,9,widowed,adm_clerical,unmarried,white,female,0,0,35,united_states,0
28,federal_gov,13,civ_spouse,exec_managerial,husband,white,male,5178,0,40,united_states,1
25,private,13,never_married,other_service,own_child,white,female,0,0,20,united_states,0
46,private,11,civ_spouse,craft_repair,husband,black,male,0,0,40,united_states,1
17,private,5,never_married,other_service,unmarried,white,male,0,0,20,united_states,0
69,private,9,widowed,adm_clerical,not_in_family,white,female,0,1429,30,united_states,0
39,private,13,civ_spouse,exec_managerial,husband,white,male,0,0,45,united_states,1
17,private,8,never_married,prof_specialty,own_child,white,male,0,0,7,united_states,0
65,private,14,civ_spouse,sales,husband,white,male,20051,0,40,united_states,1
30,private,13,never_married,sales,not_in_family,white,female,0,0,50,united_states,0
25,private,9,never_married,adm_clerical,own_child,white,female,0,0,40,united_states,0
35,private,1,civ_spouse,craft_repair,husband,white,male,0,0,38,mexico,0
31,private,9,civ_spouse,transport_moving,husband,white,male,0,0,50,united_states,0
24,private,13,never_married,adm_clerical,own_child,white,male,0,0,39,united_states,0
50,state_gov,9,civ_spouse,transport_moving,husband,white,male,0,0,40,puerto_rico,0
23,private,9,never_married,craft_repair,not_in_family,white,male,0,0,40,united_states,0
20,private,10,never_married,sales,own_child,white,male,0,0,40,united_states,0
31,federal_gov,12,civ_spouse,craft_repair,husband,white,male,0,0,40,united_states,0
28,private,11,divorced,craft_repair,not_in_family,amer_indian_eskimo,male,0,0,40,united_states,0
48,private,9,civ_spouse,sales,husband,white,male,0,0,48,united_states,0
37,private,11,civ_spouse,craft_repair,husband,white,male,0,0,45,united_states,0
47,private,10,civ_spouse,machine_op_inspct,husband,white,male,0,0,40,united_states,0
